,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
best,1,0,1,0,0,1,0,1,0,0,1,0,1,0
choice,9073,9073,9074,9074,9075,9075,9075,9076,9076,9078,9078,9078,9079,9079
alt,1,3,2,3,1,2,3,1,3,1,2,3,1,3
months,2,2,2,2,2,2,2,2,2,2,2,2,2,2
caseswo,3625.872354,3625.872354,3625.872354,3625.872354,1558.865193,1558.865193,1558.865193,1558.865193,1558.865193,1250.211184,1250.211184,1250.211184,1250.211184,1250.211184
deathswo,44.83605576,44.83605576,44.83605576,44.83605576,11.0465641,11.0465641,11.0465641,11.0465641,11.0465641,18.19434166,18.19434166,18.19434166,18.19434166,18.19434166
deldeaths,40.28747177,0,16.89474487,0,3.248989582,7.797574997,0,3.248989582,0,10.39676666,18.19434166,0,10.39676666,0
delcases,1851.274254,0,990.2920192,0,280.0629004,1426.306419,0,280.0629004,0,864.2312241,771.3101226,0,864.2312241,0
absdeaths,4.548585415,44.83605576,27.94131088,44.83605576,7.797574997,3.248989582,11.0465641,7.797574997,11.0465641,7.797574997,0,18.19434166,7.797574997,18.19434166
abscases,1774.5981,3625.872354,2635.580335,3625.872354,1278.802292,132.5587742,1558.865193,1278.802292,1558.865193,385.9799602,478.9010618,1250.211184,385.9799602,1250.211184
mabsdeaths,2.274292707,22.41802788,13.97065544,22.41802788,3.898787498,1.624494791,5.523282051,3.898787498,5.523282051,3.898787498,0,9.09717083,3.898787498,9.09717083
mabscases,887.2990723,1812.936157,1317.790161,1812.936157,639.401123,66.27938843,779.4326172,639.401123,779.4326172,192.989975,239.450531,625.1055908,192.989975,625.1055908
rule1,2,0,0,0,0,2,0,0,0,1,2,0,1,0
rule2,1,0,0,0,2,3,0,2,0,3,2,0,3,0
rule3,2,0,0,0,2,3,0,2,0,1,3,0,1,0
rule4,3,0,2,0,2,3,0,2,0,0,2,0,0,0
rule5,3,0,2,0,0,3,0,0,0,0,2,0,0,0
rule6,1,0,0,0,0,3,0,0,0,2,1,0,2,0
rule7,0,0,1,0,0,3,0,0,0,1,3,0,1,0
rule8,2,0,0,0,0,3,0,0,0,0,2,0,0,0
rule9,3,0,2,0,3,3,0,3,0,2,3,0,2,0
rule10,3,0,2,0,0,3,0,0,0,3,2,0,3,0
avcost,190,0,100,0,160,235,0,160,0,25,55,0,25,0
unempl,19.39999962,6.300000191,12.10000038,6.300000191,16.79999924,23.20000076,6.300000191,16.79999924,6.300000191,11.60000038,20.60000038,6.300000191,11.60000038,6.300000191
