"","state","state_po","county","FIPS","totalvotes","democrat","republican","othervotes"
"1","California","CA","Alameda","06001",654266,514842,95922,43502
"2","California","CA","Alpine","06003",602,334,217,51
"3","California","CA","Amador","06005",17734,6004,10485,1245
"4","California","CA","Butte","06007",95564,41567,45144,8853
"5","California","CA","Calaveras","06009",23136,7944,13511,1681
"6","California","CA","Colusa","06011",6632,2661,3551,420
"7","California","CA","Contra Costa","06013",466175,319287,115956,30932
"8","California","CA","Del Norte","06015",9558,3485,5134,939
"9","California","CA","El Dorado","06017",93591,36404,49247,7940
"10","California","CA","Fresno","06019",282319,141341,124049,16929
"11","California","CA","Glenn","06021",9470,3065,5788,617
"12","California","CA","Humboldt","06023",59246,33200,18373,7673
"13","California","CA","Imperial","06025",48091,32667,12704,2720
"14","California","CA","Inyo","06027",8086,3155,4248,683
"15","California","CA","Kern","06029",244163,98689,129584,15890
"16","California","CA","Kings","06031",33915,13617,18093,2205
"17","California","CA","Lake","06033",24496,11496,10599,2401
"18","California","CA","Lassen","06035",10524,2224,7574,726
"19","California","CA","Los Angeles","06037",3434308,2464364,769743,200201
"20","California","CA","Madera","06039",43112,17029,23357,2726
"21","California","CA","Marin","06041",139273,108707,21771,8795
"22","California","CA","Mariposa","06043",8877,3122,5185,570
"23","California","CA","Mendocino","06045",37477,22079,10888,4510
"24","California","CA","Merced","06047",70789,37317,28725,4747
"25","California","CA","Modoc","06049",3788,877,2696,215
"26","California","CA","Mono","06051",5276,2773,2111,392
"27","California","CA","Monterey","06053",133408,89088,34895,9425
"28","California","CA","Napa","06055",61372,39199,17411,4762
"29","California","CA","Nevada","06057",54935,26053,23365,5517
"30","California","CA","Orange","06059",1197521,609961,507148,80412
"31","California","CA","Placer","06061",182839,73509,95138,14192
"32","California","CA","Plumas","06063",9676,3459,5420,797
"33","California","CA","Riverside","06065",751391,373695,333243,44453
"34","California","CA","Sacramento","06067",559330,326023,189789,43518
"35","California","CA","San Benito","06069",21924,12521,7841,1562
"36","California","CA","San Bernardino","06071",653983,340833,271240,41910
"37","California","CA","San Diego","06073",1306400,735476,477766,93158
"38","California","CA","San Francisco","06075",405792,345084,37688,23020
"39","California","CA","San Joaquin","06077",224166,121124,88936,14106
"40","California","CA","San Luis Obispo","06079",135009,67107,56164,11738
"41","California","CA","San Mateo","06081",314384,237882,57929,18573
"42","California","CA","Santa Barbara","06083",176786,107142,56365,13279
"43","California","CA","Santa Clara","06085",703709,511684,144826,47199
"44","California","CA","Santa Cruz","06087",128821,95249,22438,11134
"45","California","CA","Shasta","06089",80053,22301,51778,5974
"46","California","CA","Sierra","06091",1830,601,1048,181
"47","California","CA","Siskiyou","06093",20492,7234,11341,1917
"48","California","CA","Solano","06095",166113,102360,51920,11833
"49","California","CA","Sonoma","06097",231253,160435,51408,19410
"50","California","CA","Stanislaus","06099",172146,81647,78494,12005
"51","California","CA","Sutter","06101",33523,13076,18176,2271
"52","California","CA","Tehama","06103",23908,6809,15494,1605
"53","California","CA","Trinity","06105",5686,2214,2812,660
"54","California","CA","Tulare","06107",112334,47585,58299,6450
"55","California","CA","Tuolumne","06109",25529,9123,14551,1855
"56","California","CA","Ventura","06111",351726,194402,132323,25001
"57","California","CA","Yolo","06113",82090,54752,20739,6599
"58","California","CA","Yuba","06115",22998,7910,13170,1918
"59","Oregon","OR","Baker","41001",8779,1797,6218,764
"60","Oregon","OR","Benton","41003",48753,29193,13445,6115
"61","Oregon","OR","Clackamas","41005",214039,102095,88392,23552
"62","Oregon","OR","Clatsop","41007",19664,9252,8138,2274
"63","Oregon","OR","Columbia","41009",26618,10167,13217,3234
"64","Oregon","OR","Coos","41011",31313,10448,17865,3000
"65","Oregon","OR","Crook","41013",12172,2637,8511,1024
"66","Oregon","OR","Curry","41015",12611,4300,7212,1099
"67","Oregon","OR","Deschutes","41017",98557,42444,45692,10421
"68","Oregon","OR","Douglas","41019",53521,14096,34582,4843
"69","Oregon","OR","Gilliam","41021",1019,239,671,109
"70","Oregon","OR","Grant","41023",4340,739,3210,391
"71","Oregon","OR","Harney","41025",3974,683,2912,379
