"","zipcode","countyname","statefips","countyfips","prop_in_county"
"1","95140","Alameda","06","001",0.000164309030112423
"2","94709","Alameda","06","001",1
"3","94550","Alameda","06","001",0.674728504880248
"4","94555","Alameda","06","001",1
"5","94579","Alameda","06","001",1
"6","94586","Alameda","06","001",1
"7","94613","Alameda","06","001",1
"8","94720","Alameda","06","001",1
"9","94706","Alameda","06","001",0.99451925538461
"10","94708","Alameda","06","001",0.406746272122064
"11","94563","Alameda","06","001",2.14916624246843e-05
"12","95391","Alameda","06","001",0.793114673527796
"13","94606","Alameda","06","001",1
"14","94546","Alameda","06","001",1
"15","94610","Alameda","06","001",1
"16","94618","Alameda","06","001",1
"17","94621","Alameda","06","001",0.999999993107926
"18","94542","Alameda","06","001",1
"19","95304","Alameda","06","001",3.15349507688097e-05
"20","94560","Alameda","06","001",1
"21","94583","Alameda","06","001",8.28655004861327e-05
"22","94530","Alameda","06","001",0.000680037871969291
"23","95134","Alameda","06","001",0.00151871478917515
"24","94702","Alameda","06","001",1
"25","94502","Alameda","06","001",1.0000017715075
"26","94703","Alameda","06","001",1
"27","94568","Alameda","06","001",0.999176228546152
"28","94501","Alameda","06","001",1.00000743396817
"29","94505","Alameda","06","001",0.0310280028393814
"30","94514","Alameda","06","001",0.267592840544578
"31","94551","Alameda","06","001",0.670645002414029
"32","94539","Alameda","06","001",0.99981593357159
"33","94541","Alameda","06","001",1
"34","94544","Alameda","06","001",1
"35","94566","Alameda","06","001",1
"36","94577","Alameda","06","001",1.00000000561086
"37","94612","Alameda","06","001",1
"38","94619","Alameda","06","001",1
"39","94704","Alameda","06","001",1
"40","94578","Alameda","06","001",1
"41","94705","Alameda","06","001",0.999651019779935
"42","95377","Alameda","06","001",0.116116217367911
"43","94587","Alameda","06","001",1
"44","94710","Alameda","06","001",0.999794849121051
"45","95002","Alameda","06","001",0.000406468276099006
"46","94588","Alameda","06","001",0.540150826180636
"47","94536","Alameda","06","001",1
"48","94538","Alameda","06","001",0.99980870296747
"49","94602","Alameda","06","001",1
"50","94603","Alameda","06","001",1
"51","94605","Alameda","06","001",1
"52","94607","Alameda","06","001",0.999999575556198
"53","94804","Alameda","06","001",0.000661605130395357
"54","94608","Alameda","06","001",1.00000062103462
"55","95132","Alameda","06","001",1.2645431708344e-05
"56","94552","Alameda","06","001",0.999997608585435
"57","94707","Alameda","06","001",0.656207661892982
"58","94611","Alameda","06","001",0.690891213191061
"59","94580","Alameda","06","001",1.00000000000252
"60","94601","Alameda","06","001",1
"61","94609","Alameda","06","001",1
"62","94545","Alameda","06","001",0.999999017370897
"63","95035","Alameda","06","001",0.000416904924008101
"64","96120","Alpine","06","003",0.999828771461187
"65","95364","Alpine","06","003",1.60477571520964e-07
"66","89410","Alpine","06","003",2.91339742138335e-06
"67","95646","Alpine","06","003",0.706484544250771
"68","96150","Alpine","06","003",0.000117621628229674
"69","95223","Alpine","06","003",0.712838608971788
"70","95623","Amador","06","005",0.000143411667713874
"71","95685","Amador","06","005",1
"72","95245","Amador","06","005",0.000119022858376758
"73","95642","Amador","06","005",0.999880736211784
"74","95699","Amador","06","005",1
"75","95720","Amador","06","005",3.48112434820823e-05
"76","95636","Amador","06","005",5.92593877873562e-05
"77","95666","Amador","06","005",0.999815198354859
"78","95669","Amador","06","005",0.99981010599606
"79","95675","Amador","06","005",0.982447311212381
"80","95684","Amador","06","005",9.23827325020733e-05
"81","95252","Amador","06","005",2.45471798700092e-06
"82","95255","Amador","06","005",0.000252045361524975
"83","95640","Amador","06","005",0.999901890689621
"84","95601","Amador","06","005",1
"85","95226","Amador","06","005",2.44401805528509e-06
"86","96155","Amador","06","005",6.53781356924841e-05
"87","95689","Amador","06","005",0.999929385881854
"88","95629","Amador","06","005",0.563736192712599
"89","95665","Amador","06","005",0.999804063839143
"90","95646","Amador","06","005",0.29294599138252
"91","95638","Amador","06","005",9.20437914681281e-06
"92","95683","Amador","06","005",1.36811878366982e-05
"93","95219","Contra Costa","06","013",0.185558276244466
"94","94850","Contra Costa","06","013",0.999999986749039
"95","94513","Contra Costa","06","013",0.999952219691818
"96","94516","Contra Costa","06","013",1
"97","94571","Contra Costa","06","013",6.06748870141619e-05
"98","94575","Contra Costa","06","013",1
"99","94706","Contra Costa","06","013",0.00548066993178449
"100","94708","Contra Costa","06","013",0.593253726254782
"101","94563","Contra Costa","06","013",0.999978509634218
"102","94597","Contra Costa","06","013",1
"103","95391","Contra Costa","06","013",6.81292080157236e-07
"104","95206","Contra Costa","06","013",4.67902425246889e-05
"105","94801","Contra Costa","06","013",0.999999751941281
"106","94526","Contra Costa","06","013",1
"107","94520","Contra Costa","06","013",1
"108","94523","Contra Costa","06","013",1
"109","94590","Contra Costa","06","013",8.92239268606001e-05
"110","94596","Contra Costa","06","013",1
"111","95304","Contra Costa","06","013",1.88073541293265e-05
"112","94806","Contra Costa","06","013",1.00000037282985
"113","94564","Contra Costa","06","013",0.99999993956822
"114","94511","Contra Costa","06","013",1
"115","94583","Contra Costa","06","013",0.999920482859751
"116","94530","Contra Costa","06","013",0.999319985078402
"117","94569","Contra Costa","06","013",1
"118","94549","Contra Costa","06","013",1
"119","94506","Contra Costa","06","013",1
"120","94582","Contra Costa","06","013",1
"121","94531","Contra Costa","06","013",1
"122","94561","Contra Costa","06","013",1
"123","94565","Contra Costa","06","013",0.99978745642201
"124","94568","Contra Costa","06","013",0.000820503165972344
"125","94548","Contra Costa","06","013",1
"126","94505","Contra Costa","06","013",0.968576140889941
"127","94507","Contra Costa","06","013",1
"128","94509","Contra Costa","06","013",0.999793918073486
"129","94525","Contra Costa","06","013",0.999399709685598
"130","94514","Contra Costa","06","013",0.732374456977945
"131","94528","Contra Costa","06","013",1
"132","94519","Contra Costa","06","013",1
"133","94551","Contra Costa","06","013",0.329354997598719
"134","94598","Contra Costa","06","013",1
"135","94705","Contra Costa","06","013",0.0003489621918485
"136","94553","Contra Costa","06","013",0.999874709109285
"137","94710","Contra Costa","06","013",0.000205579068697761
"138","94803","Contra Costa","06","013",1
"139","94588","Contra Costa","06","013",0.459849173819364
"140","94804","Contra Costa","06","013",0.999338360432836
"141","94547","Contra Costa","06","013",0.999999954632926
"142","94591","Contra Costa","06","013",1.44546785659835e-05
"143","94595","Contra Costa","06","013",1
"144","95234","Contra Costa","06","013",0.000212805316660187
"145","94552","Contra Costa","06","013",2.38908825366144e-06
"146","94707","Contra Costa","06","013",0.343792338107028
"147","94611","Contra Costa","06","013",0.309108790288616
"148","94805","Contra Costa","06","013",1
"149","94556","Contra Costa","06","013",1
"150","94510","Contra Costa","06","013",3.50482049598647e-08
"151","94517","Contra Costa","06","013",1
"152","94518","Contra Costa","06","013",1
"153","94572","Contra Costa","06","013",0.999999998798906
"154","94521","Contra Costa","06","013",1
"155","93622","Fresno","06","019",0.821837219211968
"156","93620","Fresno","06","019",0.281717915105996
"157","93643","Fresno","06","019",0.00011440740215928
"158","93664","Fresno","06","019",0.99996874877564
"159","93626","Fresno","06","019",0.219791530029404
"160","93637","Fresno","06","019",8.42912975978261e-05
"161","93546","Fresno","06","019",4.06531340505919e-07
"162","93239","Fresno","06","019",0.000264178646888714
"163","93606","Fresno","06","019",1
"164","95043","Fresno","06","019",4.78756802711948e-05
"165","93609","Fresno","06","019",1
"166","93646","Fresno","06","019",0.543060238218763
"167","93621","Fresno","06","019",1
"168","93630","Fresno","06","019",0.999855841275415
"169","93634","Fresno","06","019",0.999979167711242
"170","93636","Fresno","06","019",0.000260565222233439
"171","93640","Fresno","06","019",0.999990505743462
"172","93657","Fresno","06","019",1
"173","93667","Fresno","06","019",1
"174","93513","Fresno","06","019",2.31167006032264e-06
"175","93514","Fresno","06","019",2.93039033834037e-06
"176","93526","Fresno","06","019",3.57107300925828e-05
"177","93210","Fresno","06","019",0.917755478517483
"178","93605","Fresno","06","019",1
"179","93450","Fresno","06","019",3.13146672021201e-05
"180","93604","Fresno","06","019",2.16050866682655e-05
"181","93242","Fresno","06","019",0.82502766176053
"182","93701","Fresno","06","019",1
"183","93631","Fresno","06","019",0.254596181221292
"184","93266","Fresno","06","019",0.000277682421647071
"185","93660","Fresno","06","019",1
"186","93727","Fresno","06","019",1
"187","93627","Fresno","06","019",1
"188","93647","Fresno","06","019",0.000284770954488483
"189","93726","Fresno","06","019",1
"190","93628","Fresno","06","019",1
"191","93725","Fresno","06","019",1
"192","93650","Fresno","06","019",1
"193","93603","Fresno","06","019",8.24569784871382e-10
"194","93652","Fresno","06","019",1
"195","93721","Fresno","06","019",1
"196","93624","Fresno","06","019",0.999752833323228
"197","93675","Fresno","06","019",0.999457684114903
"198","93705","Fresno","06","019",1
"199","93611","Fresno","06","019",1
"200","93234","Fresno","06","019",0.999950964683385
"201","93720","Fresno","06","019",0.999699360565278
"202","93723","Fresno","06","019",1
"203","93728","Fresno","06","019",1
"204","93654","Fresno","06","019",0.909801186856681
"205","93706","Fresno","06","019",1
"206","93703","Fresno","06","019",1
"207","93704","Fresno","06","019",1
"208","93710","Fresno","06","019",1
"209","93608","Fresno","06","019",1
"210","93625","Fresno","06","019",1
"211","93633","Fresno","06","019",0.766705540628957
"212","93711","Fresno","06","019",0.998077316144903
"213","93612","Fresno","06","019",1
"214","93204","Fresno","06","019",7.95844805194312e-05
"215","93230","Fresno","06","019",4.05808730926607e-05
"216","93651","Fresno","06","019",1
"217","93662","Fresno","06","019",0.999984902298045
"218","93668","Fresno","06","019",1
"219","93641","Fresno","06","019",0.999802808754625
"220","93648","Fresno","06","019",1
"221","93616","Fresno","06","019",1
"222","93618","Fresno","06","019",0.101238339408452
"223","93702","Fresno","06","019",1
"224","93722","Fresno","06","019",0.999591143616441
"225","93730","Fresno","06","019",1
"226","93656","Fresno","06","019",0.920426515203818
"227","93619","Fresno","06","019",0.999925605173379
"228","93602","Fresno","06","019",0.999883261224734
"229","95545","Humboldt","06","023",1
"230","95526","Humboldt","06","023",0.999999986630088
"231","95573","Humboldt","06","023",1
"232","95546","Humboldt","06","023",1
"233","95521","Humboldt","06","023",0.999991459697276
"234","95563","Humboldt","06","023",0.000148742857492022
"235","95589","Humboldt","06","023",0.719272599674038
"236","95542","Humboldt","06","023",1.00000415728474
"237","95552","Humboldt","06","023",6.94926366459133e-05
"238","95525","Humboldt","06","023",1
"239","95511","Humboldt","06","023",0.99999599178984
"240","95550","Humboldt","06","023",1
"241","95514","Humboldt","06","023",1
"242","95548","Humboldt","06","023",8.55276730596015e-07
"243","95554","Humboldt","06","023",1
"244","95595","Humboldt","06","023",2.60561172600109e-06
"245","95528","Humboldt","06","023",1
"246","96039","Humboldt","06","023",1.94195028571205e-05
"247","95503","Humboldt","06","023",1
"248","95549","Humboldt","06","023",1
"249","95553","Humboldt","06","023",1
"250","95555","Humboldt","06","023",1
"251","95558","Humboldt","06","023",1
"252","95568","Humboldt","06","023",9.75086723894739e-05
"253","95571","Humboldt","06","023",1
"254","96010","Humboldt","06","023",4.3390609292404e-06
"255","96031","Humboldt","06","023",2.02129485277754e-05
"256","96046","Humboldt","06","023",3.06771185115162e-05
"257","95454","Humboldt","06","023",8.86192094831844e-06
"258","95559","Humboldt","06","023",1
"259","95501","Humboldt","06","023",1
