"","GEOID","NAME","ziptotal","zipmedianhhinc","ziphhsize","zipracewhite","zipraceblack","zipracenaai","zipraceasian","zipracepacisl","zipraceother","zipracemulti","zipageunder6","zipage6to11","zipage12to17","zipage18to24","zipage25to34","zipage25to44","zipage45to54","zipage55to64","zipage65to74","zipageto75up","healthinstotal","ziphealthinsyes","ziphealthinsno"
"1",29909,"ZCTA5 29909",18829,68351,9255,17728,338,0,386,42,145,190,381,609,283,442,977,846,689,2212,7123,4974,18818,18185,633
"2",30008,"ZCTA5 30008",31982,47702,10804,11686,13063,138,681,0,5215,1199,3142,2678,2319,2642,5327,4302,3296,2837,1612,1143,29613,21717,7896
"3",28202,"ZCTA5 28202",12745,90972,6958,8361,3177,18,457,0,154,578,556,185,213,1367,4561,1620,1028,954,682,386,12745,12247,498
"4",28601,"ZCTA5 28601",51706,50821,20524,41990,3098,71,2335,0,3113,1099,3168,3949,4262,4402,6294,6049,6656,6792,5100,3740,51262,45638,5624
"5",28645,"ZCTA5 28645",46604,38697,18448,40302,3368,239,175,32,1772,716,2717,3481,3160,3647,4897,5502,6539,6636,5647,3457,45894,39927,5967
"6",30334,"ZCTA5 30334",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",30315,"ZCTA5 30315",35511,28249,12286,4856,28845,141,136,0,1047,486,3870,3220,2167,3246,5469,4200,3808,3313,2044,1354,32700,26978,5722
"8",30117,"ZCTA5 30117",35575,43871,13295,24523,8077,602,328,54,1127,864,2993,2806,2718,5422,5644,3508,4258,3187,2655,1635,34977,30464,4513
"9",31210,"ZCTA5 31210",34305,62158,13967,20558,11464,62,1493,0,156,572,2559,2584,3229,2205,5165,4173,4380,4132,2903,2262,34043,31391,2652
"10",35405,"ZCTA5 35405",45473,56240,17060,21121,23208,34,639,50,181,240,3550,3142,3461,5715,8244,5717,5049,5178,3020,2137,45407,42527,2880
"11",33131,"ZCTA5 33131",16715,88917,9417,14849,273,0,665,0,596,332,1124,556,291,1044,5478,3631,1659,1775,862,295,16675,15053,1622
"12",37772,"ZCTA5 37772",12348,67729,4936,11706,41,54,235,0,300,12,658,695,791,699,1190,1367,1897,2301,1635,1000,12266,10777,1489
"13",36207,"ZCTA5 36207",19746,50809,8288,14059,4906,46,296,0,131,308,1504,1190,1320,1631,2287,2469,2312,2731,2440,1592,19491,18189,1302
"14",44305,"ZCTA5 44305",22425,37644,9548,16272,4515,38,154,19,101,1326,1619,1768,1579,1831,3724,2608,3128,2995,1780,1084,22270,20407,1863
"15",43506,"ZCTA5 43506",14192,44732,6261,13806,48,16,24,0,101,197,1041,1083,1257,841,1726,1550,1954,1899,1506,1106,13964,13048,916
"16",46113,"ZCTA5 46113",15663,72430,5510,14133,1343,0,21,0,127,39,1015,1745,1420,1513,1851,2632,2224,1697,846,629,15620,14298,1322
"17",46032,"ZCTA5 46032",48853,102143,19266,41440,1350,206,4351,20,473,1013,3604,4202,4473,3857,5659,7051,7030,6812,3469,2290,48444,46753,1691
"18",48906,"ZCTA5 48906",26086,44626,10245,18333,3786,137,498,0,831,2501,2247,2217,2121,2291,3511,3581,3253,3239,1851,1626,26078,24261,1817
"19",48382,"ZCTA5 48382",23507,106207,8354,21778,428,58,566,0,53,624,1481,1624,2815,1660,1999,3215,4035,3401,2169,1020,23418,22499,919
"20",48124,"ZCTA5 48124",28891,71689,11863,26350,1218,16,468,11,192,636,2062,2209,1978,2127,3627,3691,4014,4426,2601,2084,28857,27609,1248
"21",48221,"ZCTA5 48221",41821,41297,15325,2409,37723,123,334,0,178,1054,2494,3120,3256,4256,4909,4834,5246,5394,3795,3559,41821,38664,3157
"22",49255,"ZCTA5 49255",2618,45577,722,2603,0,3,3,0,0,9,409,350,355,115,196,355,234,301,175,110,2618,1639,979
"23",48204,"ZCTA5 48204",24524,24362,9535,1000,23142,29,12,0,46,295,2214,2103,2267,2069,2706,3215,3197,2925,1883,1813,24410,22050,2360
"24",53511,"ZCTA5 53511",49191,46025,19164,37667,5321,164,650,0,2884,2505,3957,4461,3238,4013,6019,5465,6343,6744,4228,2927,48959,44501,4458
"25",53225,"ZCTA5 53225",26840,43304,9701,8367,14595,159,1861,93,877,888,2759,2579,2450,2805,3951,3356,3220,2543,1357,1291,26345,24634,1711
"26",53566,"ZCTA5 53566",15156,53176,6546,14432,64,33,110,0,247,270,901,1219,1114,1138,1756,1789,1992,2146,1481,1315,14892,14272,620
"27",60641,"ZCTA5 60641",71023,60073,24773,48458,1710,247,3293,45,14202,3068,5509,5136,5088,5897,12472,10315,9431,9110,4508,3225,70718,59601,11117
"28",54115,"ZCTA5 54115",45700,76267,17343,41376,187,1531,1349,0,251,1006,3104,4082,3876,3254,5801,6076,5676,5689,3420,2455,45541,43975,1566
