"","GEOID","county","Totalworkers","Agriculture.forestry.fishing.and.hunting.and.mining","Construction","Manufacturing","Wholesale.trade","Retail.trade","Transportation.and.warehousing.and.utilities","Information","Finance.and.insurance.and.real.estate.and.rental.and.leasing","Professional.scientific.and.management.and.administrative.and.waste.management.services","Educational.services.and.health.care.and.social.assistance","Arts.entertainment.and.recreation.and.accommodation.and.food.services","Other.services.except.public.administration","Public.administration"
"1",29909,"ZCTA5 29909",4319,0,120,99,88,1063,8,0,241,587,1078,630,213,192
"2",30008,"ZCTA5 30008",14090,178,1788,877,323,1961,785,585,944,1924,2249,1328,697,451
"3",28202,"ZCTA5 28202",9578,0,332,620,236,782,242,248,2098,1735,1579,1357,206,143
"4",28601,"ZCTA5 28601",23647,48,979,5872,938,3094,685,346,1094,1518,4729,2589,1216,539
"5",28645,"ZCTA5 28645",19684,325,1476,5011,606,2383,871,456,617,1095,3881,1491,869,603
"6",30334,"ZCTA5 30334",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",30315,"ZCTA5 30315",12562,56,658,664,287,1408,1118,308,746,1807,2496,1883,483,648
"8",30117,"ZCTA5 30117",15976,99,925,2813,403,1835,799,153,701,1440,3615,1959,601,633
"9",31210,"ZCTA5 31210",16319,154,572,885,270,1644,816,424,1934,1746,5052,1372,526,924
"10",35405,"ZCTA5 35405",22783,88,1075,4117,403,2343,1125,357,786,1249,7308,2484,702,746
"11",33131,"ZCTA5 33131",11032,68,286,541,335,706,251,477,2361,2581,1454,1155,361,456
"12",37772,"ZCTA5 37772",6198,44,454,892,118,823,248,81,311,837,1485,522,253,130
"13",36207,"ZCTA5 36207",8557,237,296,1566,174,827,299,135,428,781,2244,593,304,673
"14",44305,"ZCTA5 44305",10484,21,678,1652,211,1392,800,109,570,934,2330,1270,317,200
"15",43506,"ZCTA5 43506",6838,128,258,2296,146,829,293,109,172,488,1157,516,274,172
"16",46113,"ZCTA5 46113",8153,107,455,723,266,1156,884,228,677,482,1442,870,310,553
"17",46032,"ZCTA5 46032",26489,15,916,3344,1051,2017,710,610,2818,4605,6671,2456,878,398
"18",48906,"ZCTA5 48906",11712,48,630,1483,263,1343,580,136,668,1134,2787,1322,516,802
"19",48382,"ZCTA5 48382",12454,10,759,2674,399,1387,269,152,1109,1633,2362,1148,349,203
"20",48124,"ZCTA5 48124",14336,16,480,2800,317,1591,567,260,817,1628,3580,1351,523,406
"21",48221,"ZCTA5 48221",15893,41,358,2382,274,1646,858,314,873,1598,4527,1398,644,980
"22",49255,"ZCTA5 49255",810,64,92,209,34,98,46,1,23,29,142,16,31,25
"23",48204,"ZCTA5 48204",7726,38,183,1220,96,889,330,67,364,924,1923,840,518,334
"24",53511,"ZCTA5 53511",22214,233,1211,6399,687,2690,746,330,574,1306,4576,1840,1038,584
"25",53225,"ZCTA5 53225",12153,26,357,1756,387,1391,605,232,481,828,3417,1526,662,485
"26",53566,"ZCTA5 53566",8235,264,552,1653,189,1323,439,157,245,552,1977,413,305,166
"27",60641,"ZCTA5 60641",37532,65,2168,4272,985,3887,2452,726,2340,4972,7688,4716,2155,1106
"28",54115,"ZCTA5 54115",24796,349,1432,3896,795,2657,1749,268,2459,2074,5652,2075,774,616
"29",55423,"ZCTA5 55423",20637,56,906,1564,587,2403,901,386,1956,2977,4562,2865,939,535
"30",55330,"ZCTA5 55330",20949,192,2047,3372,747,2534,1277,122,1485,2260,4534,923,704,752
"31",59102,"ZCTA5 59102",24417,603,1733,1227,802,2808,1387,632,1781,2328,6202,2738,1283,893
"32",60608,"ZCTA5 60608",34418,51,1141,3608,1063,3138,1531,641,1671,4788,7627,6267,1836,1056
"33",60645,"ZCTA5 60645",20867,15,707,1167,423,2322,2114,431,1384,2412,5712,2615,1117,448
"34",66044,"ZCTA5 66044",16866,178,519,1409,293,2171,338,264,867,1297,4594,3492,777,667
"35",67570,"ZCTA5 67570",643,81,64,70,13,44,15,2,9,14,231,39,27,34
"36",75647,"ZCTA5 75647",5635,562,278,584,210,632,433,55,214,366,1195,666,307,133
"37",73401,"ZCTA5 73401",15666,487,1124,2128,314,1989,889,121,671,1209,3490,1664,989,591
"38",74110,"ZCTA5 74110",5530,50,1062,725,47,694,182,95,168,551,932,614,319,91
"39",75409,"ZCTA5 75409",7154,231,525,406,334,747,557,150,589,1063,1440,306,290,516
"40",75028,"ZCTA5 75028",25218,197,774,2132,1092,2783,2013,790,2962,3936,4706,2069,952,812
"41",80203,"ZCTA5 80203",16251,241,559,830,424,1213,439,663,1650,3753,3046,2005,761,667
"42",77619,"ZCTA5 77619",6962,128,970,842,150,760,385,28,263,616,1409,628,499,284
"43",76209,"ZCTA5 76209",13999,90,712,1108,394,1694,485,177,733,1556,3976,1445,1126,503
"44",83854,"ZCTA5 83854",19285,335,1577,1818,468,2381,749,551,1263,1948,4225,1707,1435,828
"45",78628,"ZCTA5 78628",14849,295,1426,1113,462,1469,466,394,1034,1977,3472,1069,642,1030
"46",82001,"ZCTA5 82001",17328,349,1341,528,314,2576,1059,537,724,1623,3847,1828,648,1954
"47",83201,"ZCTA5 83201",16880,247,1013,1243,325,2193,731,232,1332,1474,5002,1594,536,958
"48",84107,"ZCTA5 84107",18872,108,1216,1830,406,2362,980,487,1874,2209,3892,1933,996,579
"49",84120,"ZCTA5 84120",25565,153,2945,3475,817,3440,1899,434,2068,3059,3269,2109,1116,781
"50",85033,"ZCTA5 85033",26425,234,3933,2497,1007,3431,1640,325,1790,3230,3818,2495,1317,708
