"","term","estimate","std.error","robust.se","statistic","p.value"
"1","mabscases",-0.000299660640502539,0.00031457868239982,0.000265234208884924,-1.12979634777259,0.258562047517953
"2","mabsdeaths",-0.0514250881093054,0.0250635585747036,0.0218793122156668,-2.35039783711675,0.0187533549592674
"3","avcost",-0.002325932811374,0.0010628358681889,0.00089288835741842,-2.6049536787543,0.00918866816181555
"4","unempl",-0.0531469365852219,0.0248313483558022,0.0195033155272177,-2.72502060026938,0.00642974751984444
"5","frule11",-0.725561603061204,0.342517339317912,0.285002858305289,-2.5458046539449,0.0109026181225219
"6","frule12",-0.456189737992873,0.343053117361476,0.277457301265549,-1.64417997260148,0.100139032549215
"7","frule21",-0.049339786900678,0.309681351350637,0.251610810253968,-0.196095656028753,0.844535296242428
"8","frule22",-0.508766734884431,0.30893860498694,0.254990887212684,-1.99523496876999,0.0460172588117765
"9","frule23",0.0844901428920035,0.24718472006482,0.212319488541435,0.397938707710833,0.690675366577698
"10","frule31",-0.0771744618291389,0.295995067859828,0.244044970411795,-0.316230495137502,0.751827562722563
"11","frule32",-0.218187878795396,0.358900925490257,0.292360564840081,-0.746297226901114,0.455487886246374
"12","frule33",-0.00630423449604947,0.201467600358983,0.168965712459529,-0.0373107324810617,0.9702372481699
"13","frule41",-0.608379623823396,0.505219256709845,0.405584092017693,-1.50000859451079,0.133612176271319
"14","frule42",-0.343364393478848,0.239528813940337,0.194523026402208,-1.76516065902083,0.0775367683661414
"15","frule43",-0.222768348691629,0.29908949020618,0.238230728250873,-0.935094940636871,0.349739373689168
"16","frule51",-0.449364227739219,0.26720384586634,0.229441511962925,-1.95851319098626,0.0501698247356724
"17","frule52",-0.286075058621491,0.234710064673449,0.180877662749803,-1.58159417958204,0.113742243600316
"18","frule53",0.0954993532512382,0.234013992243497,0.19789380852181,0.482578782856227,0.629394847096612
"19","frule61",-0.154600775572402,0.370829523392185,0.301889005365343,-0.512111315167988,0.608573105848736
"20","frule62",-0.252482515265842,0.267996030250972,0.214311843985636,-1.17810808105764,0.238753520817697
"21","frule63",-0.268219958281786,0.264570569333751,0.213591987563668,-1.25575852044466,0.209203534711206
"22","frule71",-0.527033917807834,0.309082794708978,0.234218248331829,-2.25018298771135,0.0244373317685984
"23","frule72",-0.34035733020286,0.312232767148285,0.251366874654594,-1.35402618451834,0.175728024043896
"24","frule73",-0.865299330310296,0.292951005477332,0.235039958153712,-3.68149882729474,0.000231866855997579
"25","frule81",-0.119119448447537,0.299177671402558,0.249781967617494,-0.476893706874596,0.633437813459135
