"","term","label","estimate","std.error","p.value","star"
"1","mabsdeaths","Absolute deaths/mo",0.0540368425068823,0.0437882541910179,0.217184720716586,""
"2","mabsdeaths:demeanrp","Absolute deaths/mo X demeanrp",-0.000938434051810296,0.0114784994760065,0.934840894845203,""
"3","mabsdeaths:female","Absolute deaths/mo X female",-0.0468993203237107,0.0177023949589188,0.00806537709076254,"*"
"4","mabsdeaths:nonbinary","Absolute deaths/mo X nonbinary",-0.168489992763535,0.429056007827858,0.694541589750264,""
"5","mabsdeaths:pvotedem","Absolute deaths/mo X pvotedem",-0.0359082569893681,0.0576633699641587,0.533467132749502,""
"6","mabsdeaths:pzipage55to64","Absolute deaths/mo X pzipage55to64",-0.42576056427789,0.170110922156873,0.0123200932052514,"*"
"7","mabsdeaths:comheart","Absolute deaths/mo X 1=Own heart group",-0.0238353551326413,0.0288169944129407,0.408164275936306,""
"8","mabsdeaths:compreg","Absolute deaths/mo X 1=Own pregnancy",-0.082811643142403,0.0591136487531408,0.161247355413781,""
"9","mabsdeaths:comorbid","Absolute deaths/mo X 1=Own underlying conditions",-0.0144047277919881,0.0181069010675839,0.426300617787842,""
"10","mabsdeaths:ffcomcanc","Absolute deaths/mo X 1=Family cancer group",0.0603971745424635,0.0281905593478495,0.0321564021364253,"*"
"11","mabsdeaths:vulnteens","Absolute deaths/mo X 1=Teens vulnerable",0.0910116692833899,0.0336965307620371,0.00691477503178552,"*"
"12","mabsdeaths:vulnmen","Absolute deaths/mo X 1=Men vulnerable",0.0467047890487502,0.0239182043486832,0.0508565842328179,""
"13","mabsdeaths:vulnlowinc","Absolute deaths/mo X 1=Low-income vulnerable",0.05012956344142,0.0187086588549553,0.00737355931252011,"*"
"14","mabsdeaths:ageb65to74","Absolute deaths/mo X ageb65to74",0.00892837092378493,0.0231233665596859,0.699408546936692,""
"15","mabsdeaths:monthstwo","Absolute deaths/mo X 1=two-month restrictions",-0.0215092463467284,0.0158304559570617,0.174233545236539,""
"16","mabsnfcases","Absolute non-fatal cases/mo",0.000320604423783356,0.000576917520991741,0.57840249655528,""
"17","mabsnfcases:asian","Absolute non-fatal cases/mo X asian",-0.000561021179546067,0.000415603237802455,0.17704932082675,""
"18","pvotedem:mabsnfcases","Absolute non-fatal cases/mo X mabsnfcases",-0.000697154686425308,0.000863076692367269,0.419231519609638,""
"19","mabsnfcases:pzipiagric","Absolute non-fatal cases/mo X pzipiagric",-0.00668690523361418,0.00231365066492542,0.00385000993801447,"*"
"20","mabsnfcases:comcovid","Absolute non-fatal cases/mo X 1=Own COVID",0.000564249321015584,0.000438759025450206,0.198438914160517,""
"21","mabsnfcases:ffcomother","Absolute non-fatal cases/mo X 1=Family other illness",-0.000332237551554859,0.00115885424664768,0.774345976523456,""
"22","mabsnfcases:ffcompreg","Absolute non-fatal cases/mo X 1=Family pregnancy",0.00173033308668856,0.000800739657254626,0.0307016406223919,"*"
"23","mabsnfcases:vulnseniors","Absolute non-fatal cases/mo X 1=Seniors vulnerable",-0.000246865610686521,0.000270487799769923,0.361417078675007,""
"24","mabsnfcases:vulnwomen","Absolute non-fatal cases/mo X 1=Women vulnerable",7.43880294183466e-05,0.00034360609087608,0.828604125212321,""
"25","mabsnfcases:vulnnoneng","Absolute non-fatal cases/mo X 1=Non-Engl. vulnerable",-0.000260061038099032,0.000461469560598156,0.573060618842979,""
"26","mabsnfcases:ageb18to24","Absolute non-fatal cases/mo X ageb18to24",0.000958409062346494,0.000358780510126016,0.00755589088788963,"*"
