"","term","label","estimate","std.error","p.value","star"
"1","mabsdeaths","Absolute deaths/mo",0.0673044677706334,0.0607625550700176,0.268007144469801,""
"2","mabsdeaths:multi","Absolute deaths/mo X multi",0.0215786356259478,0.0370231127630247,0.559999476663487,""
"3","mabsdeaths:female","Absolute deaths/mo X female",-0.110919661107008,0.0312662777602744,0.000388785796636505,"*"
"4","mabsdeaths:pzipage55to64","Absolute deaths/mo X pzipage55to64",-0.542163863405374,0.374795870288511,0.148020832177234,""
"5","mabsdeaths:pziprothrace3","Absolute deaths/mo X pziprothrace3",-0.0782977064434564,0.137522714314851,0.569122839721062,""
"6","mabsdeaths:pzipiwholes","Absolute deaths/mo X pzipiwholes",0.442043550119374,0.947760687188383,0.64092319666383,""
"7","mabsdeaths:compreg","Absolute deaths/mo X 1=Own pregnancy",-0.056346550365973,0.154674795408259,0.715641132668699,""
"8","mabsdeaths:comorbid","Absolute deaths/mo X 1=Own underlying conditions",0.0326694093218045,0.0290513287238719,0.260783600865684,""
"9","mabsdeaths:ffcomcanc","Absolute deaths/mo X 1=Family cancer group",0.0459279477356009,0.0498239341958816,0.356630340041835,""
"10","mabsdeaths:ffcomother","Absolute deaths/mo X 1=Family other illness",-0.181948341455988,0.137295457735419,0.185094196962963,""
"11","mabsdeaths:vulnmen","Absolute deaths/mo X 1=Men vulnerable",0.0275175840590111,0.0402860019500446,0.494571634292044,""
"12","mabsdeaths:vulnnonwhite","Absolute deaths/mo X 1=Nonwhites vulnerable",0.0171925772752692,0.0342211317297099,0.615388630921265,""
"13","mabsdeaths:vulnlowinc","Absolute deaths/mo X 1=Low-income vulnerable",-0.0341426106876031,0.0371082237524108,0.357529882277668,""
"14","mabsdeaths:ageb18to24","Absolute deaths/mo X ageb18to24",-0.0159721954531444,0.0445668625979781,0.720053529768732,""
"15","mabsdeaths:ageb25to34","Absolute deaths/mo X ageb25to34",-0.0011866944228364,0.036347443451652,0.973954785177314,""
"16","mabsdeaths:ideolconserv","Absolute deaths/mo X ideolconserv",-0.0286105189432933,0.0328264450416449,0.383443431032113,""
"17","mabsdeaths:ideolliberal","Absolute deaths/mo X ideolliberal",-0.059945230166879,0.0364707205132694,0.100247780591068,""
"18","mabsnfcases","Absolute non-fatal cases/mo",-0.000427444116939325,0.000879770051901426,0.627067204453166,""
"19","mabsnfcases:asian","Absolute non-fatal cases/mo X asian",0.000769290073151296,0.000807573308171732,0.34079545110791,""
"20","mabsnfcases:pzipage55to64","Absolute non-fatal cases/mo X pzipage55to64",-0.00186785367906786,0.00523606573382376,0.721295095556027,""
"21","mabsnfcases:pziprblack","Absolute non-fatal cases/mo X pziprblack",0.00422761835672212,0.00392759348727603,0.281753327736527,""
"22","mabsnfcases:pzipiagric","Absolute non-fatal cases/mo X pzipiagric",-0.00947529420576038,0.00354482595638737,0.00751778673362921,"*"
"23","mabsnfcases:comheart","Absolute non-fatal cases/mo X 1=Own heart group",0.0027226481324145,0.000713997201689289,0.000137152572382254,"*"
"24","mabsnfcases:comcovid","Absolute non-fatal cases/mo X 1=Own COVID",-7.73204674197489e-05,0.000762883441783797,0.919270305251256,""
"25","mabsnfcases:ffcompreg","Absolute non-fatal cases/mo X 1=Family pregnancy",0.00115288805765252,0.00177986504504824,0.517153755750917,""
"26","mabsnfcases:vulnseniors","Absolute non-fatal cases/mo X 1=Seniors vulnerable",5.76529815009611e-06,0.000418902164136585,0.989019161132378,""
"27","mabsnfcases:vulnwomen","Absolute non-fatal cases/mo X 1=Women vulnerable",-0.000344379668479267,0.000545162051745279,0.527581968498203,""
"28","mabsnfcases:vulnmen","Absolute non-fatal cases/mo X 1=Men vulnerable",-0.000789824432586717,0.000603904221773773,0.190919530961717,""
"29","mabsnfcases:vulnlowinc","Absolute non-fatal cases/mo X 1=Low-income vulnerable",-0.00017998757235898,0.000478901155114042,0.707039943608021,""
"30","mabsnfcases:vulnnosci","Absolute non-fatal cases/mo X 1=No science vulnerable",0.00110345020823573,0.000646984887901278,0.0880961772478214,""
"31","mabsnfcases:ageb18to24","Absolute non-fatal cases/mo X ageb18to24",0.00106515493218278,0.000615737428216491,0.0836508263364853,""
"32","mabsnfcases:ageb25to34","Absolute non-fatal cases/mo X ageb25to34",-0.00143650885593958,0.00052409103188009,0.00612612805920055,"*"
"33","mabsnfcases:ageb55to64","Absolute non-fatal cases/mo X ageb55to64",0.00190354513254464,0.000613648493541809,0.00192210016605893,"*"
"34","mabsnfcases:ideolconserv","Absolute non-fatal cases/mo X ideolconserv",0.00105762207541773,0.000430672771349826,0.0140593271134486,"*"
"35","mabsnfcases:fedui","Absolute non-fatal cases/mo X Federal UI",-9.20339663419808e-07,1.31159268137899e-06,0.482868613393189,""
"36","avcost","Avg. hhld cost for county",0.00224672685543693,0.00180849035409369,0.214117883041341,""
"37","avcost:OR","Avg. hhld cost for county X OR",-0.000715846267103279,0.00135794828013604,0.598087468173141,""
"38","avcost:WA","Avg. hhld cost for county X WA",-0.00216545435445858,0.000878858753608611,0.0137419498201231,"*"
"39","avcost:black","Avg. hhld cost for county X black",-0.00739794063031922,0.00423829184627103,0.0808977816594491,""
"40","avcost:asian","Avg. hhld cost for county X asian",-0.000136744272825062,0.00169869119937293,0.935839768867975,""
"41","avcost:female","Avg. hhld cost for county X female",0.00302361566056868,0.000909889929477145,0.000890368729533833,"*"
"42","avcost:pzipageunder6","Avg. hhld cost for county X pzipageunder6",0.0163271257056382,0.0122111302280629,0.181200060953407,""
"43","avcost:pziprothrace3","Avg. hhld cost for county X pziprothrace3",-0.0138213497975377,0.00482088000559854,0.00414413752983406,"*"
"44","avcost:pzipimanuf","Avg. hhld cost for county X pzipimanuf",-0.00571277351606818,0.00642322082950718,0.373791414463865,""
"45","avcost:pzipiwholes","Avg. hhld cost for county X pzipiwholes",-0.0785360467738926,0.0285435492047164,0.00593327218951803,"*"
"46","avcost:pzipifinan","Avg. hhld cost for county X pzipifinan",0.0231608371479592,0.0131931906196239,0.0791713463569726,""
"47","avcost:comheart","Avg. hhld cost for county X 1=Own heart group",0.00123501854484751,0.00151007993380427,0.413442968044501,""
"48","avcost:comresp","Avg. hhld cost for county X 1=Own respir. group",-0.00328511995924229,0.00132287699596302,0.0130166017270587,"*"
"49","avcost:comage","Avg. hhld cost for county X 1=Own aged group",-0.00301803975212368,0.00130131076967121,0.0203825363270108,"*"
"50","avcost:comother","Avg. hhld cost for county X 1=Own other illness",-0.000822501916109462,0.00224870875362276,0.714539456832043,""
"51","avcost:comcovid","Avg. hhld cost for county X 1=Own COVID",0.00742758035283511,0.0022253453030588,0.00084468709639017,"*"
"52","avcost:comorbid","Avg. hhld cost for county X 1=Own underlying conditions",-0.000883407834494647,0.000997370679332676,0.375759416055803,""
"53","avcost:ffcomdiab","Avg. hhld cost for county X 1=Family diabetes group",-0.00240419501298889,0.000979092296282507,0.0140675208676799,"*"
"54","avcost:ffcomresp","Avg. hhld cost for county X 1=Family respir. group",0.000783126799509397,0.00100204729053569,0.434492728171004,""
"55","avcost:ffcomother","Avg. hhld cost for county X 1=Family other illness",0.00621039608744644,0.00415934183041012,0.135405802469413,""
"56","avcost:ffcomcovid","Avg. hhld cost for county X 1=Family COVID",-0.000666737947798591,0.00144865247324924,0.645338942266485,""
"57","avcost:ffcomnovax","Avg. hhld cost for county X 1=Family no vaccine",-0.000866611754510237,0.000674099880987272,0.198588421894926,""
"58","avcost:vulnchild","Avg. hhld cost for county X 1=Children vulnerable",0.00130101345148879,0.000980955200282908,0.184749605718037,""
"59","avcost:vulnwomen","Avg. hhld cost for county X 1=Women vulnerable",-0.00209998254212596,0.00114069285680533,0.0656257992248036,""
