v0,v1,v2,v3,v4
Cost x (fed UI = $0),-0.284***,-0.301***,-0.291***,-0.310***
Cost x (fed UI > $0),,,0.174***,0.153**
. . . . Cost x (fed UI = $100),0.125,0.088,,
. . . . Cost x (fed UI = $200),0.131,0.105,,
. . . . Cost x (fed UI = $300),0.665***,0.659***,,
. . . . Cost x (fed UI = $400),0.166,0.194,,
Unemp x (fed UI = $0),0.097**,0.098**,0.093**,0.092**
Unemp x (fed UI > $0),,,-0.024,-0.023
. . . . Unemp x (fed UI = $100),-0.028,-0.017,,
. . . . Unemp x (fed UI = $200),-0.001,0.001,,
. . . . Unemp x (fed UI = $300),-0.079***,-0.083***,,
. . . . Unemp x (fed UI = $400),-0.015,-0.014,,
Status quo,-2.008***,-2.552***,-1.994***,-2.472***
