"","caseid","n","nchoice"
"1",1207,18,8
"2",1224,18,8
"3",1287,18,8
"4",1334,18,8
"5",1454,18,8
"6",1538,28,12
"7",1565,32,14
"8",1569,18,8
"9",1725,18,8
"10",1783,18,8
"11",1826,18,8
"12",1995,18,8
"13",2051,18,8
"14",2161,18,8
"15",2235,18,8
"16",2240,18,8
"17",2249,18,8
"18",2275,32,14
"19",2289,18,8
"20",2338,32,14
"21",2341,18,8
"22",2355,18,8
"23",2372,28,12
"24",2378,18,8
"25",2390,18,8
"26",2431,18,8
"27",2466,26,11
"28",2531,28,12
"29",2538,18,8
"30",2539,18,8
"31",2564,18,8
"32",2565,26,11
"33",2583,18,8
"34",2629,18,8
"35",2639,18,8
"36",2674,18,8
"37",2721,18,8
"38",2757,18,8
"39",2892,18,8
"40",2939,18,8
"41",2955,18,8
"42",3056,18,8
"43",3065,18,8
"44",3080,18,8
"45",3125,18,8
"46",3272,18,8
"47",3346,18,8
"48",3360,18,8
"49",3374,28,12
"50",3497,18,8
"51",3533,18,8
"52",3548,18,8
"53",3593,28,12
"54",3644,18,8
"55",3769,18,8
"56",3881,18,8
"57",3891,18,8
"58",3894,18,8
"59",3934,18,8
"60",3949,18,8
"61",3979,18,8
"62",3992,28,12
