"","caseid","CA","WA","OR","ResponseId","zipcode","Durationinseconds","intersection2","zip","state","geometry"
"1",1213,0,1,0,"R_3ND8vaIE0fhtYLh",98260,1316,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"2",1238,1,0,0,"R_3e7YlhLfD5t0ZDU",90001,585,30,60645,"Illinois",c(-87.6928024291992, 42.0096015930176)
"3",1239,1,0,0,"R_OiNLF4i5ikosxQR",92071,1958,26,11385,"New York",c(-73.888298034668, 40.6994018554688)
"4",1240,0,1,0,"R_32V18MH0blTjaAl",98052,2036,4,20190,"Virginia",c(-77.342903137207, 38.9609107971191)
"5",1284,1,0,0,"R_2QR6jkJeY85HmDT",90017,806,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"6",1285,1,0,0,"R_1cXGsReCOJYg19a",90007,334,41,21218,"Maryland",c(-76.606201171875, 39.3247985839844)
"7",1305,1,0,0,"R_1g57jQgigJmVdXR",94115,3260,43,96765,"Hawaii",c(-159.474899291992, 21.9082908630371)
"8",1327,1,0,0,"R_1BQ3fMCSDwDk3Gx",93065,450,49,44305,"Ohio",c(-81.4663009643555, 41.0751991271973)
"9",1354,0,1,0,"R_2ZNPyLTkF9Qwpg7",98030,562,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"10",1402,0,0,1,"R_3L6kPQN8F3nHLom",97526,757,4,20190,"Virginia",c(-77.342903137207, 38.9609107971191)
"11",1436,1,0,0,"R_puTM1nWHJeASyCB",90001,1276,NA,NA,"",c(7.02250719070435, 4.77650499343872)
"12",1445,1,0,0,"R_1dsFkHFxnRFgbJq",91607,1397,26,11427,"New York",c(-73.7514038085938, 40.7291984558105)
"13",1458,0,0,1,"R_10GVcnx24qI22jB",97367,2672,36,86404,"Arizona",c(-114.330703735352, 34.5574989318848)
"14",1462,0,1,0,"R_3oNOsv9kmsjnW9t",95758,2003,4,20190,"Virginia",c(-77.342903137207, 38.9609107971191)
"15",1474,0,1,0,"R_1PXxxJfgTuH1Vuc",98290,846,NA,NA,"",c(-122.377998352051, 48.201099395752)
"16",1476,1,0,0,"R_XtBwai7A4uRZ82J",95076,2239,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"17",1502,0,1,0,"R_2qdy9z9RgHWzYJR",98003,815,4,23235,"Virginia",c(-77.5662002563477, 37.5115089416504)
"18",1531,0,0,1,"R_24MZYA8jNmP17Ld",97424,3698,27,67570,"Kansas",c(-97.8219985961914, 37.7510108947754)
"19",1537,0,0,1,"R_2zImIwTH1NuBVOx",97123,2901,56,6611,"Connecticut",c(-73.2111968994141, 41.2572898864746)
"20",1538,1,0,0,"R_42uAeQ3uIlI3hO9",94534,560,40,7701,"New Jersey",c(-74.0680999755859, 40.3583984375)
