"","GEOID","NAME","total","urban","rural"
"1","95524","ZCTA5 95524",813,314,499
"2","95525","ZCTA5 95525",830,0,830
"3","95526","ZCTA5 95526",301,0,301
"4","95527","ZCTA5 95527",455,0,455
"5","95528","ZCTA5 95528",546,0,546
"6","95531","ZCTA5 95531",9176,6690,2486
"7","95536","ZCTA5 95536",1397,0,1397
"8","95537","ZCTA5 95537",143,143,0
"9","95540","ZCTA5 95540",5722,5324,398
"10","95542","ZCTA5 95542",1390,0,1390
"11","95543","ZCTA5 95543",425,0,425
"12","95545","ZCTA5 95545",100,0,100
"13","95546","ZCTA5 95546",1417,0,1417
"14","95547","ZCTA5 95547",506,161,345
"15","95548","ZCTA5 95548",647,0,647
"16","95549","ZCTA5 95549",382,0,382
"17","95550","ZCTA5 95550",73,0,73
"18","95551","ZCTA5 95551",732,0,732
"19","95552","ZCTA5 95552",749,0,749
"20","95553","ZCTA5 95553",612,0,612
"21","95554","ZCTA5 95554",336,0,336
"22","95555","ZCTA5 95555",238,0,238
"23","95556","ZCTA5 95556",353,0,353
"24","95558","ZCTA5 95558",360,0,360
"25","95559","ZCTA5 95559",110,0,110
"26","95560","ZCTA5 95560",867,0,867
"27","95562","ZCTA5 95562",1486,1365,121
"28","95563","ZCTA5 95563",395,0,395
"29","95564","ZCTA5 95564",192,188,4
"30","95565","ZCTA5 95565",394,273,121
"31","95567","ZCTA5 95567",927,0,927
"32","95568","ZCTA5 95568",102,0,102
"33","95569","ZCTA5 95569",154,0,154
"34","95570","ZCTA5 95570",1571,0,1571
"35","95571","ZCTA5 95571",137,0,137
"36","95573","ZCTA5 95573",1136,0,1136
"37","95585","ZCTA5 95585",300,0,300
"38","95587","ZCTA5 95587",119,0,119
"39","95589","ZCTA5 95589",1159,0,1159
"40","95603","ZCTA5 95603",12243,11007,1236
"41","95595","ZCTA5 95595",175,0,175
"42","95601","ZCTA5 95601",111,0,111
"43","95602","ZCTA5 95602",7496,5600,1896
"44","95604","ZCTA5 95604",117,75,42
"45","95605","ZCTA5 95605",5251,5251,0
"46","95606","ZCTA5 95606",87,0,87
"47","95607","ZCTA5 95607",219,0,219
"48","95608","ZCTA5 95608",27325,27325,0
"49","95610","ZCTA5 95610",18539,18539,0
"50","95612","ZCTA5 95612",502,0,502
"51","95614","ZCTA5 95614",1680,0,1680
"52","95615","ZCTA5 95615",333,0,333
"53","95616","ZCTA5 95616",17982,17572,410
"54","95618","ZCTA5 95618",10257,10042,215
"55","95619","ZCTA5 95619",2139,2018,121
"56","95620","ZCTA5 95620",7048,6209,839
"57","95621","ZCTA5 95621",16768,16768,0
